Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73
SRR11780540_2 - illumina_universal_adapter	(1, 0.001678401717078266)	(2, 0.0017247024541011148)	(3, 0.0019253389812001259)	(4, 0.002426930298947654)	(5, 0.002592841273279528)	(6, 0.002816628168889964)	(7, 0.0029863975379737424)	(8, 0.003287352328622259)	(9, 0.0035651567507593513)	(10, 0.004255809411350178)	(12, 0.005231983283581905)	(14, 0.006624863789019271)	(16, 0.008770131271077928)	(18, 0.010377152685245968)	(20, 0.011818263125082135)	(22, 0.01334232905208424)	(24, 0.014725563570641843)	(26, 0.016072143339056363)	(28, 0.017615501239817984)	(30, 0.020177475355082283)	(32, 0.023582508723637617)	(34, 0.027753433450445904)	(36, 0.03186069466384778)	(38, 0.03588114199533181)	(40, 0.040461056565841924)	(42, 0.04597663186368878)	(44, 0.05166969332012322)	(46, 0.058215460016728456)	(48, 0.0671341394857547)	(50, 0.07820580322634339)	(52, 0.09045041897151093)	(54, 0.10439272840751623)	(56, 0.1206057031550171)	(58, 0.14158379542111948)	(60, 0.16795206515563182)	(62, 0.20051884605907805)	(64, 0.23871116651080038)	(66, 0.2833199974349392)	(68, 0.3407001149878804)	(70, 0.4131414764548791)	(72, 0.5076335639290095)	(74, 0.6266033077092192)	(76, 0.7693214711873986)	(78, 0.9436360292889202)	(80, 1.163269362948931)	(82, 1.4419843662474725)	(84, 1.7933645179086235)	(86, 2.211664668146798)	(88, 2.6982043879671487)	(90, 3.270410117266648)	(92, 3.960055736827228)	(94, 4.782516949735225)	(96, 5.719414292589946)	(98, 6.745332519160596)	(100, 7.8709709580942055)	(102, 9.124347342881729)	(104, 10.524529860387073)	(106, 12.03523030796858)	(108, 13.601292932647784)	(110, 15.212911624162718)	(112, 16.896888721657486)	(114, 18.6755894103115)	(116, 20.529276071771392)	(118, 22.38133834904073)	(120, 24.207267718655423)	(122, 26.053046600071287)	(124, 27.938237054680478)	(126, 29.85320659998486)	(128, 31.744391070841132)	(130, 33.57993941857232)	(132, 35.38171716623747)	(134, 37.1860395252415)	(136, 39.00103999172143)	(138, 40.78235281362248)
SRR11780540_2 - polya	(1, 0.01091925714788849)	(2, 0.01886369194205895)	(3, 0.022660352377932545)	(4, 0.028725748927925725)	(5, 0.03342913213049677)	(6, 0.0378238437529155)	(7, 0.04284361532514268)	(8, 0.05506700989917474)	(9, 0.06958614935058972)	(10, 0.08558884158411181)	(12, 0.09710807911592137)	(14, 0.11417182990621709)	(16, 0.13852601758023553)	(18, 0.1542798433522598)	(20, 0.17120469193148696)	(22, 0.18974813710913785)	(24, 0.20672121562276383)	(26, 0.22762792758595596)	(28, 0.24488845650859878)	(30, 0.2606731494386383)	(32, 0.27473506911195267)	(34, 0.2886407237978149)	(36, 0.3006480482657403)	(38, 0.3131974771963083)	(40, 0.3294837614440953)	(42, 0.342486551758012)	(44, 0.35684170943247107)	(46, 0.3726727030995334)	(48, 0.3855751751499006)	(50, 0.39804357779067856)	(52, 0.41388614664199663)	(54, 0.43614522596573113)	(56, 0.45296589788665687)	(58, 0.4671860117447993)	(60, 0.4813193117210239)	(62, 0.4943992699299786)	(64, 0.5090110108554393)	(66, 0.5246548723770343)	(68, 0.5385547394707686)	(70, 0.5552847391150246)	(72, 0.5719414292589945)	(74, 0.5845178669528258)	(76, 0.6008948234772826)	(78, 0.6145400365173913)	(80, 0.6254303557046406)	(82, 0.637235114448091)	(84, 0.6532570986553725)	(86, 0.6712275722123657)	(88, 0.683406595246751)	(90, 0.6970498790894837)	(92, 0.7103960665363198)	(94, 0.7289838832536176)	(96, 0.7422837699634308)	(98, 0.7529136475049265)	(100, 0.7630689424919381)	(102, 0.7737046076255616)	(104, 0.7844000778778397)	(106, 0.7942177633240596)	(108, 0.8063022556870231)	(110, 0.8166871251617729)	(112, 0.8255768666701598)	(114, 0.8346691739030216)	(116, 0.8440817279002917)	(118, 0.8535907417663593)	(120, 0.8622798467476471)	(122, 0.8700275034094704)	(124, 0.8784137244027339)	(126, 0.8875581199647467)	(128, 0.8955430679038121)	(130, 0.90439422546468)	(132, 0.914649838715241)	(134, 0.9245581964381306)	(136, 0.9334923094861645)	(138, 0.9411608690555737)
SRR11780540_2 - polyg	(1, 0.22963236365957013)	(2, 0.23126446463962555)	(3, 0.23139950845594218)	(4, 0.23151140190374742)	(5, 0.23160014498304118)	(6, 0.2317043216413426)	(7, 0.23181235669439593)	(8, 0.23212488666930015)	(9, 0.2326650619345667)	(10, 0.23329398027912707)	(12, 0.23460583449477446)	(14, 0.23547590251132883)	(16, 0.23580965365736853)	(18, 0.23602572376347514)	(20, 0.23622250189582225)	(22, 0.23650995230483912)	(24, 0.23672795160832172)	(26, 0.23696331368818785)	(28, 0.23718131299167042)	(30, 0.2374591174138075)	(32, 0.2376886919015458)	(34, 0.23798578829744244)	(36, 0.23833111462773782)	(38, 0.238686086944913)	(40, 0.23917031548627696)	(42, 0.23961403088274594)	(44, 0.24007317985822252)	(46, 0.2405323288336991)	(48, 0.24096446904591234)	(50, 0.24144869758727633)	(52, 0.24201395241843027)	(54, 0.2427451182239161)	(56, 0.24357853149032735)	(58, 0.24442737833574624)	(60, 0.24525500401002967)	(62, 0.24621767350062973)	(64, 0.24804269421828035)	(66, 0.24986771493593096)	(68, 0.2518509298384096)	(70, 0.25430101050586873)	(72, 0.257185160582917)	(74, 0.2602988851477036)	(76, 0.263701989318883)	(78, 0.2674774285836211)	(80, 0.2716367781261737)	(82, 0.27596589703781005)	(84, 0.2810512613208196)	(86, 0.28671538481661474)	(88, 0.2928425156826384)	(90, 0.29977798024918595)	(92, 0.3073867346999407)	(94, 0.3172545792779354)	(96, 0.3287390912569778)	(98, 0.34333732780080684)	(100, 0.35987633690484355)	(102, 0.3792802041121691)	(104, 0.4025810500189177)	(106, 0.4327691305578151)	(108, 0.4695319157539569)	(110, 0.5151246373398313)	(112, 0.5738899186087061)	(114, 0.6463852976022314)	(116, 0.732547110807001)	(118, 0.8385005598916625)	(120, 0.9780008221467538)	(122, 1.1448243068374535)	(124, 1.3510670815109813)	(126, 1.5798544567198847)	(128, 1.8520140473349411)	(130, 2.196362274560747)	(132, 2.597154958612157)	(134, 3.057118055381392)	(136, 3.5626970241050127)	(138, 4.133542669254466)
SRR11780541_1 - illumina_universal_adapter	(1, 0.0013654009960105556)	(2, 0.0014198191516486573)	(3, 0.001489078622460787)	(4, 0.0017463280854772684)	(5, 0.0018601115018114815)	(6, 0.0020184188636677776)	(7, 0.002156937805292037)	(8, 0.002295456746916296)	(9, 0.0024784996340626387)	(10, 0.002809955672949259)	(12, 0.003245300918054074)	(14, 0.003930474968588357)	(16, 0.005018838081350393)	(18, 0.005916737649379074)	(20, 0.006784954587059699)	(22, 0.007823846649241644)	(24, 0.008798426345669467)	(26, 0.009815056435090369)	(28, 0.011220034271565)	(30, 0.013364604314212013)	(32, 0.017431124671895625)	(34, 0.02278636589719065)	(36, 0.0278893047645272)	(38, 0.03276467679919533)	(40, 0.03737043160820194)	(42, 0.043126388343195717)	(44, 0.04968624965011599)	(46, 0.056993123820795674)	(48, 0.06714210984730166)	(50, 0.07997737392030668)	(52, 0.09502399395424185)	(54, 0.11183178338882832)	(56, 0.1315979416481043)	(58, 0.15699885256845283)	(60, 0.1892465568890862)	(62, 0.22833116039988835)	(64, 0.27423534823315626)	(66, 0.32822310573121133)	(68, 0.39655004723990617)	(70, 0.4827879826111236)	(72, 0.5939197506342435)	(74, 0.7336581536553022)	(76, 0.8999402488651094)	(78, 1.100589882912907)	(80, 1.3495331565369908)	(82, 1.669544067871907)	(84, 2.069950383504531)	(86, 2.537355342937775)	(88, 3.071699580910942)	(90, 3.6970507635312475)	(92, 4.448493759870093)	(94, 5.344288334696591)	(96, 6.346477824453164)	(98, 7.425359810371527)	(100, 8.589940497209785)	(102, 9.889285272933272)	(104, 11.337542858007893)	(106, 12.890575181106096)	(108, 14.469030677097408)	(110, 16.069686307036534)	(112, 17.741879549667004)	(114, 19.51501105034857)	(116, 21.363776366709505)	(118, 23.17191605633407)	(120, 24.935719790428756)	(122, 26.715173691374453)	(124, 28.544519146830176)	(126, 30.41287005211577)	(128, 32.238473022595116)	(130, 33.980284401154414)	(132, 35.68175955862324)	(134, 37.4053334343862)	(136, 39.15110497054444)	(138, 40.85219178026622)
SRR11780541_1 - polya	(1, 0.004813533221443009)	(2, 0.010032729057642778)	(3, 0.012179772652818796)	(4, 0.016206716170038334)	(5, 0.019061195788509677)	(6, 0.02203935303343125)	(7, 0.025472643943689675)	(8, 0.034120183585089864)	(9, 0.045167069179624535)	(10, 0.0570104386884987)	(12, 0.06465618955565201)	(14, 0.07678401760536172)	(16, 0.09463811975971713)	(18, 0.1049924106461305)	(20, 0.11618523583987646)	(22, 0.1286098901930667)	(24, 0.13973098236347153)	(26, 0.15468855450636254)	(28, 0.16746197976614244)	(30, 0.17938202940341574)	(32, 0.1894642295116386)	(34, 0.19910119016464065)	(36, 0.20802082058423133)	(38, 0.21714575586372942)	(40, 0.22929337233367114)	(42, 0.23962045414226546)	(44, 0.25075391407531533)	(46, 0.2627654851561618)	(48, 0.27233813344340974)	(50, 0.28251185499520576)	(52, 0.29428596503326776)	(54, 0.3110319156546292)	(56, 0.3242159506342238)	(58, 0.3351119495244892)	(60, 0.3464977118154975)	(62, 0.35712656703263046)	(64, 0.3705233275297195)	(66, 0.3842144407777601)	(68, 0.3961691201504395)	(70, 0.41002348786539444)	(72, 0.42329409718350425)	(74, 0.43362612609715656)	(76, 0.4468818941000924)	(78, 0.4579460945623301)	(80, 0.46694487866284895)	(82, 0.47673025246759126)	(84, 0.4896050933810604)	(86, 0.5039418038391712)	(88, 0.5144222459045638)	(90, 0.5266242805301437)	(92, 0.5377997908561866)	(94, 0.5536305270418163)	(96, 0.5650855488036366)	(98, 0.5742327460558958)	(100, 0.582892653459941)	(102, 0.5913126262686728)	(104, 0.5995075057972651)	(106, 0.6072447781079915)	(108, 0.6163993960178377)	(110, 0.6241737716164992)	(112, 0.6313940714486638)	(114, 0.6387875199578585)	(116, 0.6462601221479816)	(118, 0.6536461499995894)	(120, 0.6611979058706405)	(122, 0.6679111274343591)	(124, 0.6744017292704673)	(126, 0.6808502807135823)	(128, 0.6868511191489475)	(130, 0.69350497545197)	(132, 0.7014104493346688)	(134, 0.7085639632485502)	(136, 0.71492594035315)	(138, 0.7209218316834574)
SRR11780541_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0008805847003256482)	(4, 0.0011328870582841203)	(5, 0.0011873052139222222)	(6, 0.001241723369560324)	(7, 0.0013208770504884722)	(8, 0.0014198191516486573)	(9, 0.0015632851983309259)	(10, 0.00170427769248419)	(12, 0.0019244238675656016)	(14, 0.002325139377264352)	(16, 0.002589809497867847)	(18, 0.0027134871243180785)	(20, 0.002827270540652292)	(22, 0.0029756836923925693)	(24, 0.003111729081487824)	(26, 0.0032774571009311342)	(28, 0.0034951297234835418)	(30, 0.003715275898564954)	(32, 0.003920580758472338)	(34, 0.004205039299307871)	(36, 0.004444973894621319)	(38, 0.004699749805108796)	(40, 0.004964419925712291)	(42, 0.005320611489888959)	(44, 0.0057584302875227774)	(46, 0.006181407769982569)	(48, 0.0065598613069202776)	(50, 0.006928420633741968)	(52, 0.007376133641491806)	(54, 0.007873317699821736)	(56, 0.008355660442977638)	(58, 0.008860265158894584)	(60, 0.009389605400101574)	(62, 0.00991647208877956)	(64, 0.010599172586784838)	(66, 0.011502019259871528)	(68, 0.01466074583941044)	(70, 0.11142364722154255)	(72, 0.13362130761683008)	(74, 0.13677508709131098)	(76, 0.13857088622736835)	(78, 0.139980811168901)	(80, 0.14139568321549165)	(82, 0.1427586106589732)	(84, 0.14421800665108592)	(86, 0.14605832973266536)	(88, 0.14813116675197124)	(90, 0.15011000877517494)	(92, 0.15219768710965487)	(94, 0.15446840833128112)	(96, 0.15656845442840606)	(98, 0.15901727143212063)	(100, 0.1623664615563929)	(102, 0.16714783859495885)	(104, 0.17361370490577693)	(106, 0.18039618594030765)	(108, 0.18713166947678722)	(110, 0.19311766659697843)	(112, 0.20010050538635854)	(114, 0.20802329413676035)	(116, 0.21676977587932073)	(118, 0.2277152458201662)	(120, 0.24161661103317222)	(122, 0.2580261585105889)	(124, 0.2761820340734829)	(126, 0.2968386712432006)	(128, 0.32266998030359595)	(130, 0.35618661707160865)	(132, 0.39505354795985836)	(134, 0.44157117682031943)	(136, 0.4951780072289078)	(138, 0.5602645949246066)
SRR11780541_2 - illumina_universal_adapter	(1, 0.0013654009960105556)	(2, 0.0014198191516486573)	(3, 0.001489078622460787)	(4, 0.0017018041399551851)	(5, 0.0018254817664054167)	(6, 0.0019689478130876853)	(7, 0.0021074667547119445)	(8, 0.0022410385912781943)	(9, 0.0024141872683085186)	(10, 0.0027481168597241435)	(12, 0.0031834621048289586)	(14, 0.0038884245755952777)	(16, 0.005459130431513217)	(18, 0.0063446622368968746)	(20, 0.0072128791745775)	(22, 0.008234456369056412)	(24, 0.009209036065484236)	(26, 0.010240507470079166)	(28, 0.01170732411977891)	(30, 0.01391373297565104)	(32, 0.018066827671849812)	(34, 0.02362242665199421)	(36, 0.029101345503739467)	(38, 0.03418696950337298)	(40, 0.03896587298940993)	(42, 0.044847980903382934)	(44, 0.05154883470445648)	(46, 0.058952177423767335)	(48, 0.06927678567983267)	(50, 0.08219615053882384)	(52, 0.09723040281011398)	(54, 0.11392440882836621)	(56, 0.13376972076857035)	(58, 0.15933141260330422)	(60, 0.19171268876050382)	(62, 0.23083439555924104)	(64, 0.276793001548147)	(66, 0.33086980693724627)	(68, 0.3994416301463126)	(70, 0.4855707292062538)	(72, 0.5963933031632482)	(74, 0.7359387690870445)	(76, 0.9020205065420022)	(78, 1.1019874400917944)	(80, 1.3502628545330473)	(82, 1.6696232215528348)	(84, 2.068384624753671)	(86, 2.5344687071364267)	(88, 3.0671902946505667)	(90, 3.68988735540725)	(92, 4.438797433956395)	(94, 5.3308025263084575)	(96, 6.327968230878623)	(98, 7.401900638186447)	(100, 8.561163187087343)	(102, 9.855704323799504)	(104, 11.29567798145449)	(106, 12.839370170203171)	(108, 14.406771359942361)	(110, 15.99576418970723)	(112, 17.653323895576108)	(114, 19.411015481371628)	(116, 21.23972770737992)	(118, 23.02867757648447)	(120, 24.77684351149079)	(122, 26.538883602632296)	(124, 28.34739432513621)	(126, 30.191788874178396)	(128, 31.99602777146472)	(130, 33.71496620978832)	(132, 35.39549779799407)	(134, 37.09650792758744)	(136, 38.81684639664246)	(138, 40.49217363032718)
SRR11780541_2 - polya	(1, 0.005738641867290741)	(2, 0.01134865900307324)	(3, 0.014534594660431204)	(4, 0.019273921306004072)	(5, 0.02323160535241148)	(6, 0.027199183608934908)	(7, 0.031354751857662684)	(8, 0.04093729435502662)	(9, 0.05315664384830949)	(10, 0.06743893615078222)	(12, 0.07684585641858682)	(14, 0.0909376851763262)	(16, 0.11025860398038137)	(18, 0.12306913252809634)	(20, 0.13672066893567292)	(22, 0.15197259382951545)	(24, 0.16554002945110582)	(26, 0.18168985391297707)	(28, 0.19548238281470687)	(30, 0.20802576768928935)	(32, 0.21923343419820934)	(34, 0.23061424938415961)	(36, 0.24110458565966825)	(38, 0.2514415616783786)	(40, 0.2648012188875326)	(42, 0.27583326316689327)	(44, 0.2882504968624965)	(46, 0.3013034335580539)	(48, 0.3124344199385748)	(50, 0.3233897840895363)	(52, 0.33617805066449025)	(54, 0.3541583039978249)	(56, 0.36821550302015815)	(58, 0.3802468625212367)	(60, 0.3922262774192061)	(62, 0.4038099239125348)	(64, 0.41657345496219866)	(66, 0.43014583768884707)	(68, 0.4428648447929889)	(70, 0.45683052237174904)	(72, 0.4704474290439195)	(74, 0.4815116295061572)	(76, 0.49508648578533465)	(78, 0.5068853313486867)	(80, 0.5163343020094844)	(82, 0.5261938823900969)	(84, 0.540196663256792)	(86, 0.5550627139561098)	(88, 0.5656124154923146)	(90, 0.5781335383941361)	(92, 0.5896207163388336)	(94, 0.6052585154272008)	(96, 0.6168273206053555)	(98, 0.6261006690365938)	(100, 0.6348966218297343)	(102, 0.6440908165800445)	(104, 0.6531811221241366)	(106, 0.6613636338900839)	(108, 0.6704613600917628)	(110, 0.6785375090989629)	(112, 0.6858715923474616)	(114, 0.6933961391406938)	(116, 0.7012546155253415)	(118, 0.7088410011317987)	(120, 0.716494172656539)	(122, 0.7238059939322767)	(124, 0.7307294674609607)	(126, 0.7376207848067675)	(128, 0.744254852689558)	(130, 0.7514306285762005)	(132, 0.7595315131086906)	(134, 0.7678426496061461)	(136, 0.7750901585161296)	(138, 0.7814026645701495)
SRR11780541_2 - polyg	(1, 0.14818558490760936)	(2, 0.14940257275187963)	(3, 0.14953119748338786)	(4, 0.14964498089972209)	(5, 0.1497191874755922)	(6, 0.14986265352227449)	(7, 0.15003580219930482)	(8, 0.15032273429266935)	(9, 0.15084712742881834)	(10, 0.15140367674784438)	(12, 0.15234115315633712)	(14, 0.1530213801018134)	(16, 0.15331573285276495)	(18, 0.1535630881056654)	(20, 0.15378076072821784)	(22, 0.15405532505893732)	(24, 0.15430515386436683)	(26, 0.15455003556473826)	(28, 0.15481717923787075)	(30, 0.15509669067364829)	(32, 0.15533167816390372)	(34, 0.1556334515724423)	(36, 0.15594759274362588)	(38, 0.15625183970469345)	(40, 0.1566030841638121)	(42, 0.15697906414822083)	(44, 0.15745645978631873)	(46, 0.15784480753337243)	(48, 0.15835435935434738)	(50, 0.1588391756500323)	(52, 0.15928936221031115)	(54, 0.15977417850599604)	(56, 0.16038514598066017)	(58, 0.16111979108177454)	(60, 0.1618395948677149)	(62, 0.16263360522952539)	(64, 0.16397674425277492)	(66, 0.16539903695695257)	(68, 0.16708599978173372)	(70, 0.16922562271932273)	(72, 0.17181048511213257)	(74, 0.1746031259173788)	(76, 0.17751202369148825)	(78, 0.18055944040722194)	(80, 0.18387400079608812)	(82, 0.18758680314212411)	(84, 0.19193530848811424)	(86, 0.19696898788463865)	(88, 0.20299950895035193)	(90, 0.21013323444400128)	(92, 0.21862494027607418)	(94, 0.229204324442627)	(96, 0.242559034546723)	(98, 0.25943113634706355)	(100, 0.2787668964662927)	(102, 0.3008928238382392)	(104, 0.32812416363005115)	(106, 0.3628107907442831)	(108, 0.4050961712276172)	(110, 0.4571421899904036)	(112, 0.5250758366469868)	(114, 0.6082020429367163)	(116, 0.7059147884899862)	(118, 0.827081759123278)	(120, 0.9837367878901992)	(122, 1.1703762204137145)	(124, 1.3972900352144833)	(126, 1.6463545129124886)	(128, 1.9416768964554092)	(130, 2.312474788315848)	(132, 2.742474686405484)	(134, 3.234587962050955)	(136, 3.7686996860863955)	(138, 4.367047095747557)
SRR11780542_1 - illumina_universal_adapter	(1, 0.00147465302251787)	(2, 0.0015359266938136263)	(3, 0.0016788985935037245)	(4, 0.001879059253069862)	(5, 0.0019852669499825066)	(6, 0.0021772577867092096)	(7, 0.0023569938891767617)	(8, 0.002553069637323182)	(9, 0.002728720828371017)	(10, 0.0031372119703427263)	(12, 0.003672335366325665)	(14, 0.0044321288903930445)	(16, 0.005857762975874309)	(18, 0.007307906529873877)	(20, 0.008331176840513007)	(22, 0.009301343302695816)	(24, 0.01026538239774905)	(26, 0.011174275188636102)	(28, 0.012409960893100522)	(30, 0.0146627895410745)	(32, 0.017307769685341316)	(34, 0.02036124097157984)	(36, 0.023604660638835213)	(38, 0.027189170409636962)	(40, 0.031104558005435795)	(42, 0.03606772538039206)	(44, 0.04160482280981857)	(46, 0.048085534777199734)	(48, 0.056386074782064866)	(50, 0.06714573146159969)	(52, 0.07962717830454527)	(54, 0.09416333559160853)	(56, 0.1119265729002483)	(58, 0.13457740672257956)	(60, 0.16390911317185813)	(62, 0.19991556488095447)	(64, 0.2427928375980149)	(66, 0.2949101799464754)	(68, 0.360050219900994)	(70, 0.44347228091445645)	(72, 0.5530357325583983)	(74, 0.6926028585801625)	(76, 0.8600515474972055)	(78, 1.064066320987846)	(80, 1.3195714029240204)	(82, 1.6471588317725228)	(84, 2.059937088279225)	(86, 2.5478327808831045)	(88, 3.1105068619363254)	(90, 3.7765087773512906)	(92, 4.5816366483546895)	(94, 5.537673401936697)	(96, 6.618880011241676)	(98, 7.790377460112372)	(100, 9.070337476999395)	(102, 10.498189669381567)	(104, 12.09798191078676)	(106, 13.824059188732507)	(108, 15.586038753146148)	(110, 17.390364551792285)	(112, 19.281312939549235)	(114, 21.28766620228032)	(116, 23.36789100312557)	(118, 25.423069169600822)	(120, 27.42759034956017)	(122, 29.455420034080415)	(124, 31.527812017278357)	(126, 33.642268375820834)	(128, 35.708847530068525)	(130, 37.687731805957725)	(132, 39.62811987662751)	(134, 41.57548701845788)	(136, 43.53183688050021)	(138, 45.441277662254215)
SRR11780542_1 - polya	(1, 0.008382238233259471)	(2, 0.012728583983838457)	(3, 0.01466074708536464)	(4, 0.017409892470834243)	(5, 0.01956672570044487)	(6, 0.022017672552275123)	(7, 0.024427770289908207)	(8, 0.031519176514537076)	(9, 0.040269056775571084)	(10, 0.04959082463536549)	(12, 0.055450630066949655)	(14, 0.06501340770050737)	(16, 0.08040126901858165)	(18, 0.0895433007759085)	(20, 0.09911220577659578)	(22, 0.11007202311569675)	(24, 0.11945710710249677)	(26, 0.13238176683448163)	(28, 0.1429228807530616)	(30, 0.152677649223346)	(32, 0.16137646809163353)	(34, 0.17027340516377737)	(36, 0.17770794394766248)	(38, 0.18577972891302347)	(40, 0.196557767693947)	(42, 0.20502374661131068)	(44, 0.2140085092789784)	(46, 0.2239859054216374)	(48, 0.2324416720604518)	(50, 0.2405665608742691)	(52, 0.25037851810442957)	(54, 0.2641548818674254)	(56, 0.27443047654372377)	(58, 0.2830169603479691)	(60, 0.29224681770081984)	(62, 0.30134800034394954)	(64, 0.3116235950202479)	(66, 0.32243227063681934)	(68, 0.33228099206975725)	(70, 0.34418033903539313)	(72, 0.355299467919863)	(74, 0.36355507389911124)	(76, 0.37465582068219244)	(78, 0.3843350182912121)	(80, 0.3917654721636775)	(82, 0.3995819501653062)	(84, 0.4103293521105818)	(86, 0.4218978212512206)	(88, 0.4299553090266126)	(90, 0.43907283131542113)	(92, 0.4477205887909622)	(94, 0.4599896202400825)	(96, 0.46891310923645446)	(98, 0.475663425357537)	(100, 0.4823871895543913)	(102, 0.4893315389679104)	(104, 0.49625546382433083)	(106, 0.5023276846497403)	(108, 0.5096886950280705)	(110, 0.5159733312473053)	(112, 0.521665655310681)	(114, 0.5272252197529159)	(116, 0.5330278364246241)	(118, 0.5390551232244167)	(120, 0.5442735975631052)	(122, 0.5493388877235544)	(124, 0.5543531164912572)	(126, 0.559438831208805)	(128, 0.5641712010885472)	(130, 0.5696429399352583)	(132, 0.5755946558737861)	(134, 0.5813502960641674)	(136, 0.5861807038179829)	(138, 0.590424926783069)
SRR11780542_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0003880665848731237)	(4, 0.00046567990184774843)	(5, 0.0005392083074026561)	(6, 0.0005800574215998269)	(7, 0.0006372461814758663)	(8, 0.0007066896756110568)	(9, 0.0008333219296222866)	(10, 0.000961996639343375)	(12, 0.001100883627613756)	(14, 0.001407251984092538)	(16, 0.0016523466692755634)	(18, 0.0017503845433487738)	(20, 0.001883144164489579)	(22, 0.00205062553269798)	(24, 0.0021629605967402)	(26, 0.002267125837942986)	(28, 0.002436649661861245)	(30, 0.0026184282200386556)	(32, 0.002802249233925925)	(34, 0.00304734391910895)	(36, 0.003241377211545512)	(38, 0.0034803445295989617)	(40, 0.003739736404750997)	(42, 0.004013425469872042)	(44, 0.00445255344749163)	(46, 0.00477526144964928)	(48, 0.005136776110294242)	(50, 0.005479908669550478)	(52, 0.005825083684516572)	(54, 0.006196810623710827)	(56, 0.006682915082657162)	(58, 0.0071424676173753344)	(60, 0.007595892784963931)	(62, 0.008096294433879275)	(64, 0.008629375374152357)	(66, 0.009466782215194359)	(68, 0.012710201882449729)	(70, 0.09897536124403528)	(72, 0.13368281112166153)	(74, 0.13796379828952504)	(76, 0.13999808417654416)	(78, 0.1414339305405747)	(80, 0.14290449865167287)	(82, 0.14430562326863583)	(84, 0.1457843612025734)	(86, 0.14774920359545735)	(88, 0.15023691465006506)	(90, 0.1523488138540588)	(92, 0.154338165715461)	(94, 0.15646231965371388)	(96, 0.15872944549165688)	(98, 0.1611415856849998)	(100, 0.164329859048089)	(102, 0.1680062793258344)	(104, 0.17190941218737404)	(106, 0.17630069196356996)	(108, 0.18108003832463893)	(110, 0.18600848395252761)	(112, 0.19178046378858787)	(114, 0.19859613849238583)	(116, 0.2062635172271948)	(118, 0.21533406303467661)	(120, 0.2263326870322649)	(122, 0.23960864914634541)	(124, 0.2551088455284619)	(126, 0.27287004038139184)	(128, 0.2952022511129852)	(130, 0.3241029994074836)	(132, 0.35846323181443396)	(134, 0.4005786685517171)	(136, 0.44965070943677854)	(138, 0.5090820856822426)
SRR11780542_2 - illumina_universal_adapter	(1, 0.0014991624910361725)	(2, 0.0015481814280727776)	(3, 0.001703408062022027)	(4, 0.0018913139873290132)	(5, 0.0019975216842416576)	(6, 0.002193597432388078)	(7, 0.002361078800596479)	(8, 0.0025653243715823334)	(9, 0.002736890651210451)	(10, 0.0031412968817624435)	(12, 0.003680505189165099)	(14, 0.004460723270331064)	(16, 0.00629076358636432)	(18, 0.007712312760425869)	(20, 0.008713116058256556)	(22, 0.009673070241890073)	(24, 0.010665703716881325)	(26, 0.01156029931779937)	(28, 0.012800069933683506)	(30, 0.015093747695854653)	(32, 0.017802043967127083)	(34, 0.020984189963086698)	(36, 0.024401218365680044)	(38, 0.028093978289104295)	(40, 0.03213804059462422)	(42, 0.0371645240965861)	(44, 0.042744513095919645)	(46, 0.04932734784879374)	(48, 0.05774430782912081)	(50, 0.06848966731868661)	(52, 0.08093434995885473)	(54, 0.09552156863866446)	(56, 0.11329910313727325)	(58, 0.13599691344093126)	(60, 0.1653102377888211)	(62, 0.20147395858757652)	(64, 0.24430833973472993)	(66, 0.2963235592976975)	(68, 0.36151057573354284)	(70, 0.4446814146946927)	(72, 0.5538036959053052)	(74, 0.6928581655438948)	(76, 0.8595062118226732)	(78, 1.0627305549535984)	(80, 1.316571035486238)	(82, 1.6420179707508087)	(84, 2.0523044312914838)	(86, 2.5374836578012516)	(88, 3.0968060690345944)	(90, 3.758290072419352)	(92, 4.558197426628353)	(94, 5.5070610757573375)	(96, 6.578919365278294)	(98, 7.74073557408426)	(100, 9.010691642904396)	(102, 10.428241688686041)	(104, 12.0146844395716)	(106, 13.723966604215178)	(108, 15.466077159483316)	(110, 17.249435107812047)	(112, 19.116415277813804)	(114, 21.096461711001915)	(116, 23.14681355463477)	(118, 25.17158976786878)	(120, 27.148382569111085)	(122, 29.148273501976178)	(124, 31.18933829949631)	(126, 33.2682048672945)	(128, 35.29976611839666)	(130, 37.245574866520414)	(132, 39.15210106397645)	(134, 41.06389883961964)	(136, 42.980473919168176)	(138, 44.850981410180864)
