Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
SRR11780541_1	(1, 36.3879955131736)	(2, 36.372943352381995)	(3, 36.46278050456712)	(4, 36.47452127111709)	(5, 36.52544988726042)	(6, 36.49515757568502)	(7, 36.46288236546026)	(8, 36.52118073347956)	(9, 36.509436751311306)	(10, 36.52974109523563)	(15, 36.51141678063972)	(20, 36.48978720621246)	(25, 36.435381853682244)	(30, 36.39939314851675)	(35, 36.376310827006556)	(40, 36.35347760213026)	(45, 36.317897231016254)	(50, 36.30762082735187)	(55, 36.26132967696096)	(60, 36.25074837331765)	(65, 36.217683268722496)	(70, 36.19490031632779)	(75, 36.19507440495478)	(80, 36.15541789631085)	(85, 36.13336862927889)	(90, 36.0927200083982)	(95, 36.074309198617456)	(100, 36.05764339109804)	(105, 36.01873805088612)	(110, 35.98759948751949)	(115, 35.93983875010006)	(120, 35.88961132673344)	(125, 35.799267630567215)	(130, 35.72986590080204)	(135, 35.556076494513015)	(140, 35.33941711823017)	(145, 35.14568260699772)	(150, 34.91865524624166)
SRR11780541_2	(1, 36.08163890862509)	(2, 35.842514698591195)	(3, 36.06396685993687)	(4, 36.05828273516732)	(5, 36.11849914528866)	(6, 36.06301132659492)	(7, 36.04605324410866)	(8, 36.17603061308187)	(9, 36.18617064484822)	(10, 36.203768576008464)	(15, 36.20329476207443)	(20, 36.18239488564321)	(25, 36.122637171102845)	(30, 36.085082449937026)	(35, 36.05727869051316)	(40, 36.02913535190391)	(45, 36.01302182929895)	(50, 35.963724540836914)	(55, 35.92284305972116)	(60, 35.90706441655179)	(65, 35.85829677505147)	(70, 35.828235196455964)	(75, 35.800617566912806)	(80, 35.730338003037716)	(85, 35.69605090412797)	(90, 35.64266987938265)	(95, 35.59739384526703)	(100, 35.516897045104045)	(105, 35.40772468687546)	(110, 35.25923776390456)	(115, 34.95883819612323)	(120, 34.678671832895496)	(125, 34.394178731584034)	(130, 33.952436592707116)	(135, 33.49617603620331)	(140, 32.934248946835545)	(145, 32.37573435074837)	(150, 31.97996056365732)
SRR11780542_1	(1, 36.36639645658444)	(2, 36.367788185905134)	(3, 36.443647155972336)	(4, 36.457060166864544)	(5, 36.51428736575704)	(6, 36.47982321320358)	(7, 36.45383333193765)	(8, 36.509752092853304)	(9, 36.49796381462917)	(10, 36.51278630786711)	(15, 36.49139761363559)	(20, 36.47410445976332)	(25, 36.42085578485752)	(30, 36.3841061897233)	(35, 36.35973330430323)	(40, 36.33540576139992)	(45, 36.29475581114392)	(50, 36.27994054002937)	(55, 36.237479944616766)	(60, 36.22966354831337)	(65, 36.20133311901164)	(70, 36.18526070823786)	(75, 36.1896258935999)	(80, 36.154695799710254)	(85, 36.13671473858507)	(90, 36.09959957655808)	(95, 36.08451515879991)	(100, 36.069995847687544)	(105, 36.03249369749229)	(110, 35.998552773072745)	(115, 35.94500092421121)	(120, 35.87244655761451)	(125, 35.74212057964077)	(130, 35.5907838271004)	(135, 35.29067295034973)	(140, 34.88645451134554)	(145, 34.42823628843314)	(150, 34.04444191633816)
SRR11780542_2	(1, 36.030629932147576)	(2, 35.838615116990844)	(3, 36.04490498189669)	(4, 36.03851756930614)	(5, 36.09482174161424)	(6, 36.05403426873039)	(7, 36.0374471182686)	(8, 36.14000000408491)	(9, 36.15555150695446)	(10, 36.17928270997926)	(15, 36.18007363869817)	(20, 36.16109813039732)	(25, 36.10397454119807)	(30, 36.06751504830306)	(35, 36.04467773010459)	(40, 36.0169715079471)	(45, 36.00402349886143)	(50, 35.95494106596173)	(55, 35.91898811025258)	(60, 35.90225572485017)	(65, 35.85965858718845)	(70, 35.830454093050605)	(75, 35.80740650812172)	(80, 35.74073184047522)	(85, 35.71191937528632)	(90, 35.66205624228589)	(95, 35.618743313765926)	(100, 35.54109023426354)	(105, 35.43004712149568)	(110, 35.27904169612058)	(115, 34.97032307768664)	(120, 34.67386517382217)	(125, 34.3588956523675)	(130, 33.8844613196674)	(135, 33.37849169956212)	(140, 32.76368518649765)	(145, 32.14405442572579)	(150, 31.703322319731328)
SRR11780543_1	(1, 36.368528767200154)	(2, 36.36152907714063)	(3, 36.44537291768758)	(4, 36.4608743924548)	(5, 36.51378890724641)	(6, 36.47962895734767)	(7, 36.451568919023565)	(8, 36.49829545982898)	(9, 36.49892291775779)	(10, 36.51498321263917)	(15, 36.49461273428569)	(20, 36.474522768094076)	(25, 36.419044227703644)	(30, 36.37835310944693)	(35, 36.34994741820959)	(40, 36.32259722544589)	(45, 36.29002216581765)	(50, 36.27983961831992)	(55, 36.23580806283439)	(60, 36.222142503897835)	(65, 36.18568577821461)	(70, 36.160243980567245)	(75, 36.1547655395252)	(80, 36.109861742278774)	(85, 36.082627440072585)	(90, 36.030359632953534)	(95, 35.99796382431104)	(100, 35.9583179464757)	(105, 35.90010878781004)	(110, 35.84789252528424)	(115, 35.79034692907641)	(120, 35.73390231435913)	(125, 35.65246167688899)	(130, 35.59713296446557)	(135, 35.455867376736535)	(140, 35.28504867951818)	(145, 35.13841964584445)	(150, 34.948084241181114)
SRR11780543_2	(1, 36.220018027361185)	(2, 36.08485653178697)	(3, 36.24532887058606)	(4, 36.22282897741869)	(5, 36.2704980297625)	(6, 36.233732052415576)	(7, 36.208888040644986)	(8, 36.307662221943396)	(9, 36.307075881000976)	(10, 36.32459696279525)	(15, 36.31867394963652)	(20, 36.298117374531)	(25, 36.24700002175068)	(30, 36.21139551979037)	(35, 36.18563637424798)	(40, 36.15740092640915)	(45, 36.1419701982917)	(50, 36.09817234200739)	(55, 36.06414319817087)	(60, 36.050292437942424)	(65, 36.00787167218996)	(70, 35.980586498310274)	(75, 35.95771605949745)	(80, 35.89695255044136)	(85, 35.865555662027596)	(90, 35.81657406116369)	(95, 35.76991263461673)	(100, 35.688152916615685)	(105, 35.57283299506752)	(110, 35.413570883896256)	(115, 35.103432751751406)	(120, 34.79722689770457)	(125, 34.46241637481863)	(130, 33.9822845768621)	(135, 33.46188499075543)	(140, 32.85167905532241)	(145, 32.22465739575764)	(150, 31.799383520730444)
SRR11780544_1	(1, 36.37245759413483)	(2, 36.38638648231422)	(3, 36.444238508264455)	(4, 36.46198090330591)	(5, 36.52385090058021)	(6, 36.479383759828146)	(7, 36.46670241623419)	(8, 36.520484823443674)	(9, 36.5080725406501)	(10, 36.51623289179323)	(15, 36.49166161106827)	(20, 36.47899346351283)	(25, 36.4280378454477)	(30, 36.38553084524581)	(35, 36.35806377047394)	(40, 36.32982355611492)	(45, 36.27942092619881)	(50, 36.28796386361226)	(55, 36.23514716919026)	(60, 36.22272409233372)	(65, 36.187086267742686)	(70, 36.17159267535842)	(75, 36.19015308640267)	(80, 36.15619494453339)	(85, 36.14005086158517)	(90, 36.10406169617529)	(95, 36.08968696970273)	(100, 36.07954970371928)	(105, 36.0462026521072)	(110, 36.02329122544987)	(115, 35.982916408532546)	(120, 35.93802441464819)	(125, 35.84906708208653)	(130, 35.77628162817369)	(135, 35.59579779813966)	(140, 35.36070437191675)	(145, 35.146343513640474)	(150, 34.89243528442776)
SRR11780544_2	(1, 36.208261066076815)	(2, 36.058968203230854)	(3, 36.18548692764345)	(4, 36.16237201510675)	(5, 36.2032028811845)	(6, 36.15033762336381)	(7, 36.138433165648095)	(8, 36.21954007110539)	(9, 36.23052268421262)	(10, 36.23512361401439)	(15, 36.22693768133742)	(20, 36.20423884434334)	(25, 36.14474406480985)	(30, 36.108476230697406)	(35, 36.087043234818566)	(40, 36.06066714129572)	(45, 36.05079586197932)	(50, 36.004631275748025)	(55, 35.96556689959075)	(60, 35.943827073575825)	(65, 35.905169738370006)	(70, 35.885749884658225)	(75, 35.87080243034456)	(80, 35.81337180777573)	(85, 35.78488024595044)	(90, 35.735462297509386)	(95, 35.68823206444609)	(100, 35.60607433916636)	(105, 35.48418749346685)	(110, 35.31268924639006)	(115, 34.97810925479696)	(120, 34.63230980344575)	(125, 34.2536277021916)	(130, 33.707242603731615)	(135, 33.124004488630035)	(140, 32.44001542997463)	(145, 31.760614352199305)	(150, 31.293048430696953)
SRR11780545_1	(1, 36.35383705419332)	(2, 36.36892704857529)	(3, 36.42597300300662)	(4, 36.44532121577072)	(5, 36.50880402041857)	(6, 36.4630249609005)	(7, 36.45049693185888)	(8, 36.50364087861704)	(9, 36.49207693896183)	(10, 36.49963617486192)	(15, 36.473808602288166)	(20, 36.46249879078796)	(25, 36.40805390347619)	(30, 36.3638192518585)	(35, 36.334752664541455)	(40, 36.306095913924814)	(45, 36.24311432520136)	(50, 36.22195206809505)	(55, 36.17144301753964)	(60, 36.16505558366208)	(65, 36.13642339846338)	(70, 36.12474090211638)	(75, 36.154525207845516)	(80, 36.12098755652848)	(85, 36.10208529357299)	(90, 36.06172580626007)	(95, 36.04410875688811)	(100, 36.02583559703396)	(105, 35.9851022585636)	(110, 35.9457908350034)	(115, 35.88209739586828)	(120, 35.788723404054984)	(125, 35.62182771629725)	(130, 35.40423105913793)	(135, 35.00433192071044)	(140, 34.4538337587583)	(145, 33.81841444137988)	(150, 33.31849210126747)
SRR11780545_2	(1, 36.07284527221857)	(2, 35.91501012336377)	(3, 36.07470699558287)	(4, 36.056213287601)	(5, 36.104950645469415)	(6, 36.064402094341595)	(7, 36.03542838665859)	(8, 36.12801134042716)	(9, 36.139768207301266)	(10, 36.14732945387231)	(15, 36.14612316064231)	(20, 36.122806588063604)	(25, 36.056314440751166)	(30, 36.01893695462259)	(35, 35.99320967261509)	(40, 35.96511819996475)	(45, 35.955170487432504)	(50, 35.90722380921126)	(55, 35.86214639488672)	(60, 35.839772310649394)	(65, 35.79685190889061)	(70, 35.776123112349765)	(75, 35.75764587850573)	(80, 35.69304413850996)	(85, 35.66130154861452)	(90, 35.60636696877049)	(95, 35.55338318926612)	(100, 35.459742300626104)	(105, 35.32332547480916)	(110, 35.13241006886913)	(115, 34.7678868574194)	(120, 34.39695431946943)	(125, 33.999571058888264)	(130, 33.43095937585129)	(135, 32.844268541446226)	(140, 32.15813915501341)	(145, 31.493585264126686)	(150, 31.03173093893808)
SRR11780546_1	(1, 36.36544174843149)	(2, 36.37738185137546)	(3, 36.44002870958983)	(4, 36.45881805879788)	(5, 36.51945620659258)	(6, 36.47878263768629)	(7, 36.4630319918297)	(8, 36.51767702730541)	(9, 36.50383795678566)	(10, 36.51565497537046)	(15, 36.491729439777195)	(20, 36.47853082022512)	(25, 36.425859670960726)	(30, 36.384323346851005)	(35, 36.357146429827104)	(40, 36.33221060784403)	(45, 36.28933200267587)	(50, 36.28534208014955)	(55, 36.236506345736544)	(60, 36.22682569333587)	(65, 36.19709747793824)	(70, 36.18071929751768)	(75, 36.194075714991804)	(80, 36.161941822316464)	(85, 36.1458966906083)	(90, 36.11115946124387)	(95, 36.097048086379175)	(100, 36.08264279053719)	(105, 36.047774056110356)	(110, 36.0167833641612)	(115, 35.96986234392254)	(120, 35.912086932405074)	(125, 35.81065228275452)	(130, 35.7140901804322)	(135, 35.508338997362706)	(140, 35.241073715365964)	(145, 34.99121487715804)	(150, 34.72626803721473)
SRR11780546_2	(1, 36.14611600159271)	(2, 35.984735466316096)	(3, 36.13899509156277)	(4, 36.11997146511355)	(5, 36.16649261841796)	(6, 36.12997425308843)	(7, 36.103129883960555)	(8, 36.201387552529305)	(9, 36.211244259355915)	(10, 36.22355114041275)	(15, 36.22136115775935)	(20, 36.19843891459698)	(25, 36.141413638656616)	(30, 36.10443815609311)	(35, 36.08184653908952)	(40, 36.05523889887367)	(45, 36.04149200186059)	(50, 35.99595435291686)	(55, 35.956779273190236)	(60, 35.93685127719094)	(65, 35.89649345553835)	(70, 35.872910257054194)	(75, 35.85381924750884)	(80, 35.79259894726651)	(85, 35.76213819474623)	(90, 35.71140500103003)	(95, 35.663135130885586)	(100, 35.57756993704127)	(105, 35.455199963312296)	(110, 35.28164554284346)	(115, 34.95026157901289)	(120, 34.61130852690833)	(125, 34.25307228570991)	(130, 33.72358409238315)	(135, 33.178179931385245)	(140, 32.51487396388153)	(145, 31.871748293184318)	(150, 31.41151062378572)
