"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"ENSG00000172183.17",89.5359749396189,-0.686536610097237,0.188035797158253,-3.65109527267003,0.00026112434455024,0.0218429732406861,"ISG20"
"ENSG00000128683.15",226.353631361002,1.17715005191755,0.322656082705682,3.6483119798839,0.000263968978245688,0.0220150127856904,"GAD1"
"ENSG00000259207.10",69.7779965195266,1.17435595526477,0.322135308188741,3.64553628680996,0.000266834758147293,0.022187786630587,"ITGB3"
"ENSG00000293485.2",27.1137128841991,1.54170844638196,0.423178686325767,3.64316185148119,0.000269309377025113,0.0223271058893312,"SERHL"
"ENSG00000205143.6",37.8488401567769,-1.16576093150633,0.320353394419736,-3.63898417127092,0.000273715621007104,0.0226252684476849,"ARID3C"
"ENSG00000179673.5",100.193350967732,1.00285240803008,0.276048994469802,3.63287832276376,0.000280277204603157,0.0230469902677117,"RPRML"
"ENSG00000184575.13",3792.88179119022,-0.232098260225158,0.0638913321938877,-3.63270340835627,0.000280467328502165,0.0230469902677117,"XPOT"
"ENSG00000167244.22",57.6853900191027,-1.46244831536737,0.402825791293548,-3.63047338818892,0.00028290187363112,0.0231788722797063,"IGF2"
"ENSG00000298550.1",10.5942127655588,-0.846485751049277,0.233449470267145,-3.62599131229817,0.000287855031973301,0.0235157360769066,""
"ENSG00000100625.9",217.144030534999,-0.942128858441586,0.25988080465789,-3.62523449810699,0.000288699365437326,0.0235159521019051,"SIX4"
"ENSG00000134463.16",12.1007627652756,-1.98222480411872,0.546974489163152,-3.62398035628944,0.0002901036482925,0.0235616448536167,"ECHDC3"
"ENSG00000237919.5",7.19488799212263,2.57671158841657,0.711357586685293,3.62224517829809,0.000292057108728121,0.023651546552913,"LRRC7-AS1"
"ENSG00000310591.1",3.72929359268523,1.87835095535822,0.518802572639005,3.62055058016302,0.000293976771825041,0.0237381995029475,""
"ENSG00000121644.20",1525.87995863662,-0.287177644032896,0.0794401399129989,-3.61501936360392,0.000300325173450175,0.0241809366600128,"DESI2"
"ENSG00000164118.14",652.303926216983,-0.346460935387989,0.0958933035200627,-3.61298362523826,0.000302693825870667,0.0243016172442545,"CEP44"
"ENSG00000146374.15",104.747146657177,-2.62905803731282,0.728394845798443,-3.60938583307922,0.000306922815957599,0.0245705345416601,"RSPO3"
"ENSG00000125845.8",81.4637214300021,-1.74068084177212,0.482430078941483,-3.60815155968593,0.000308386331414881,0.0246171591811439,"BMP2"
"ENSG00000163947.13",123.791435819479,-0.660878425253311,0.183304311186709,-3.60536214873941,0.000311717925054987,0.024812213983223,"ARHGEF3"
"ENSG00000111981.6",91.7399866496821,-0.646556059531675,0.179553582830867,-3.60090870556846,0.000317106920094996,0.0251694609106082,"ULBP1"
"ENSG00000158813.18",45.6325197253111,-0.894368989298318,0.248549346847826,-3.59835582205691,0.000320235297487473,0.0253457619730949,"EDA"
"ENSG00000179855.10",13.4037560257222,-1.2886434787396,0.35852948635646,-3.59424685493899,0.000325331279303763,0.0256763576623385,"GIPC3"
"ENSG00000241219.3",48.093443188609,-1.87416411511157,0.521693625087702,-3.59246121667005,0.000327569418535581,0.0257801746041284,"LOLI1"
"ENSG00000260747.1",15.8507183910895,1.02852224200862,0.286566860590855,3.58911787597481,0.000331798797638461,0.0260396814809578,""
"ENSG00000083067.27",236.988990802085,1.25522724670001,0.350155667185075,3.58476918791824,0.00033737643641846,0.026403250019875,"TRPM3"
"ENSG00000288105.1",2.02676380852313,2.17757539947948,0.608526248737432,3.5784411995333,0.000345649609935497,0.0269000124010804,""
"ENSG00000294432.1",6.78511482707505,-1.36279122833929,0.380806276373544,-3.57869949339407,0.000345308235806322,0.0269000124010804,""
"ENSG00000232445.3",18.6454153779047,-0.760330897854495,0.21253221074001,-3.57748547952858,0.000346915484520782,0.0269235325611837,"EMSLR"
"ENSG00000189120.6",19.7608422397558,-1.16142705226148,0.324977014593571,-3.57387445913369,0.00035173762107445,0.0272221534493049,"SP6"
"ENSG00000187391.23",333.463828172657,0.770661952004508,0.215891667594659,3.56966973570949,0.000357431565039689,0.027586410208961,"MAGI2"
"ENSG00000152578.16",327.053458522828,1.14812029964067,0.321902273561143,3.56667347185601,0.00036154151210182,0.0278267446463161,"GRIA4"
"ENSG00000164116.18",52.6981362951116,-1.34555745820242,0.377446943705641,-3.56489165071045,0.000364006529327649,0.0279395011617725,"GUCY1A1"
"ENSG00000174059.18",19.2282234725484,2.15473898802935,0.604812380946738,3.56265687659443,0.000367120389022904,0.0281013056134546,"CD34"
"ENSG00000156510.14",15.6951732383694,1.16648856059244,0.32780866715392,3.5584433160967,0.000373059278057732,0.0284778775127185,"HKDC1"
"ENSG00000096696.17",432.333156614733,-2.47257674081146,0.695114832564946,-3.55707665118833,0.00037500476087518,0.0285483869593778,"DSP"
"ENSG00000267662.2",30.7208831666008,-1.21874628641132,0.343008054429029,-3.55311273503487,0.000380701277512883,0.0289032961750882,"TSHZ3-AS1"
"ENSG00000158711.15",1243.80826646247,-0.578212243394199,0.162901285601849,-3.54946396683094,0.000386016290866201,0.0291243768967679,"ELK4"
"ENSG00000183196.11",172.681692121473,-0.894562129304225,0.252062436655452,-3.54897041056148,0.000386740535763659,0.0291243768967679,"CHST6"
"ENSG00000303299.1",3.75375213642434,-1.58719198099463,0.447194139713916,-3.5492235699019,0.000386368891049374,0.0291243768967679,""
"ENSG00000160801.15",18.935740949229,-1.36609190030616,0.385089464231426,-3.54746630898525,0.00038895549503385,0.0291341221869993,"PTH1R"
"ENSG00000273264.1",5.58794576572836,1.33055133062905,0.375063225020663,3.54753876644597,0.000388848522036409,0.0291341221869993,""
"ENSG00000106785.16",41.1605435472295,-1.18644417504846,0.334843973438333,-3.5432746866115,0.000395190842295734,0.0294432985144013,"TRIM14"
"ENSG00000295894.1",26.7867997962987,0.968145150651529,0.273224759861843,3.54340196379374,0.000395000141070752,0.0294432985144013,""
"ENSG00000111057.12",113.497140499743,-1.69620458263301,0.479539176480413,-3.53715538964373,0.000404461625629017,0.0298948501546273,"KRT18"
"ENSG00000284070.1",20.215838808146,-1.00772568325921,0.284892609422995,-3.53721244401602,0.000404374257233479,0.0298948501546273,""
"ENSG00000303637.1",5.27239030935794,1.33196293472693,0.376439196511674,3.53832158571624,0.000402679307195881,0.0298948501546273,""
"ENSG00000049130.17",1946.52332552599,-0.679022433699739,0.192131838144671,-3.53414842775017,0.000409091275673046,0.0301329834971147,"KITLG"
"ENSG00000064225.14",167.560696861028,-0.462735297547579,0.131076020242125,-3.53028186767349,0.000415117160893941,0.0301329834971147,"ST3GAL6"
"ENSG00000145248.7",80.5602485742344,0.701008498323997,0.198574278119042,3.53020796532245,0.000415233138136267,0.0301329834971147,"SLC10A4"
"ENSG00000149090.14",65.7531091459499,-1.68935886771321,0.478229921692774,-3.53252440109444,0.000411612238076882,0.0301329834971147,"PAMR1"
"ENSG00000234446.4",5.51989849058912,3.00450087245783,0.851042858983727,3.53037551604118,0.000414970239076215,0.0301329834971147,""
"ENSG00000253250.4",32.9857692705759,-0.705481056955543,0.199751984031501,-3.53178498013962,0.000412764835375144,0.0301329834971147,"C8orf88"
"ENSG00000254369.7",4.0072456080453,-3.24894122311419,0.920062390375241,-3.53121837942874,0.000413650082519035,0.0301329834971147,"HOXA-AS3"
"ENSG00000011105.15",850.843088272799,-0.621895925252035,0.176391212193014,-3.52566274430686,0.000422424540526908,0.0304964321389697,"TSPAN9"
"ENSG00000102098.20",665.969031896984,-0.422963735678372,0.119966108399756,-3.52569355895879,0.00042237539671181,0.0304964321389697,"SCML2"
"ENSG00000141564.16",1180.6526522446,0.265104147355457,0.0752287930287487,3.52397182889997,0.000425129445762294,0.0306126071782287,"RPTOR"
"ENSG00000112333.13",16.9828922722032,3.71296694686632,1.05406888204208,3.52250883231946,0.000427482797339808,0.0307029354109946,"NR2E1"
"ENSG00000099994.12",63.1347843893215,-1.27186487088884,0.361172012211307,-3.5214934377161,0.000429123288569776,0.030741732203464,"SUSD2"
"ENSG00000154429.11",578.5673778889,-0.278873068540027,0.0792905083173713,-3.51710531888381,0.000436280637328096,0.03114738668493,"CCSAP"
"ENSG00000304497.1",7.52657446841137,1.99447957623584,0.567151891093952,3.51665860161162,0.000437015483034202,0.03114738668493,""
"ENSG00000305144.1",7.46413538098168,1.31446560370711,0.374050827437036,3.51413633466264,0.000441186314205706,0.0313646423221202,""
"ENSG00000073711.12",755.609711253952,0.260916367899704,0.0743559999421638,3.50901565579983,0.000449768428820536,0.0318936043980125,"PPP2R3A"
"ENSG00000169213.8",384.891356338238,-1.36872300350899,0.390781566351842,-3.50252704160731,0.000460866999540642,0.032597881266243,"RAB3B"
"ENSG00000160200.19",417.498802881131,0.823804085752182,0.235368536387307,3.50006036659286,0.000465152807439022,0.0328179401187849,"CBS"
"ENSG00000140836.17",4049.28787850118,0.420964735483149,0.120372034167143,3.4971971554341,0.00047017421326706,0.0329654342349439,"ZFHX3"
"ENSG00000258516.3",1.98405655180105,-2.70160233113892,0.772556325211962,-3.49696487229937,0.000470583793649743,0.0329654342349439,""
"ENSG00000304812.1",10.1539813139174,-1.47234915698594,0.421049901091374,-3.49685192460458,0.000470783072398533,0.0329654342349439,""
"ENSG00000164683.19",297.066327274865,-1.31057845777423,0.375036459260946,-3.49453613218534,0.000474886325055168,0.0331696225892908,"HEY1"
"ENSG00000128165.9",217.225803293633,-0.790219503173863,0.226205179382966,-3.49337493212752,0.000476956340210448,0.0332311301474805,"ADM2"
"ENSG00000155966.14",361.156199615436,-1.10897935493356,0.317800747711219,-3.48954293821004,0.000483847320126283,0.0336273887487767,"AFF2"
"ENSG00000075643.7",31.0429720637794,-0.814064770711985,0.233527427852922,-3.48594928739888,0.000490393961069193,0.0338578008863649,"MOCOS"
"ENSG00000155158.21",295.855355796305,-0.612144552454217,0.175614504783643,-3.48572888787507,0.000490798144492565,0.0338578008863649,"TTC39B"
"ENSG00000169018.6",2566.25197568675,-0.186979631053674,0.0536223115893927,-3.48697446103128,0.000488518005417705,0.0338578008863649,"FEM1B"
"ENSG00000287283.1",1.87249828630827,2.09755073790443,0.602478051536487,3.48153884204592,0.000498541470340132,0.0342229733165429,""
"ENSG00000289007.3",182.210164187481,-0.977141660604987,0.28066206123688,-3.48155948224251,0.000498503049035752,0.0342229733165429,"LINC03112"
"ENSG00000182272.13",5422.45468586367,0.337555295913975,0.097032652722143,3.47878045631276,0.000503701062236141,0.0344080781853681,"B4GALNT4"
"ENSG00000302391.1",11.9298189028451,1.24322974861361,0.357359816992135,3.47892988942562,0.000503420275294523,0.0344080781853681,""
"ENSG00000178974.12",728.036203582763,-0.284687191170322,0.0818975956715986,-3.47613612873191,0.000508694007058033,0.0346033319141878,"FBXO34"
"ENSG00000249835.2",30.6296998491804,-1.04773741753413,0.301424276354026,-3.47595565363009,0.000509036451438176,0.0346033319141878,"VCAN-AS1"
"ENSG00000104044.17",13.7994904744002,-1.82331856673504,0.524980767517363,-3.47311497782579,0.000514454912304774,0.0348867859099104,"OCA2"
"ENSG00000301037.1",19.1126557414046,0.954614383112361,0.275016313249537,3.4711191195636,0.000518294025978543,0.0350620261303015,""
"ENSG00000206344.9",14.3834647091227,-1.15077425124545,0.331650806346969,-3.46983703709597,0.000520774231232442,0.0351447131555633,"HCG27"
"ENSG00000041515.16",616.979378239427,1.03926828714815,0.299720803004031,3.46745463355166,0.000525412422329293,0.0353722835360436,"MYO16"
"ENSG00000066382.18",95.4916731798853,-1.94081807062647,0.559889853148757,-3.46642836927929,0.000527422248049201,0.035422236029439,"MPPED2"
"ENSG00000105639.21",86.5560985860426,-1.58589408146416,0.457588212680749,-3.46576690027329,0.000528721456986633,0.0354243376181044,"JAK3"
"ENSG00000142619.4",4.80331985570171,-1.85124826317051,0.534419944520808,-3.46403288677867,0.000532141449389751,0.0355681817093308,"PADI3"
"ENSG00000111785.21",892.55062214672,0.33828338186815,0.0977180349152424,3.46183160725209,0.000536512725865623,0.0356314323246598,"RIC8B"
"ENSG00000235501.10",595.290337566161,-0.512376910272229,0.1480433730897,-3.46099186730756,0.000538189070510986,0.0356314323246598,"CNN3-DT"
"ENSG00000285943.1",22.9151314099298,0.654267382469862,0.189010132536058,3.4615466043602,0.000537081121410451,0.0356314323246598,"SPICE1-CFAP44"
"ENSG00000289158.2",5.03836808273682,2.57437354197893,0.743596570398504,3.46205677172407,0.000536064065451455,0.0356314323246598,""
"ENSG00000156017.14",324.652630407605,-0.373842323093246,0.108056320226559,-3.4596988154827,0.000540779891811986,0.0356340787672997,"CARNMT1"
"ENSG00000183281.16",29.1640159449403,0.761051863247372,0.219969200732886,3.45981101314058,0.000540554627593659,0.0356340787672997,"PLGLB1"
