Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR11780542_1	(1.0, 43.48958404242593)	(2.0, 16.698399883212875)	(3.0, 8.210313441069575)	(4.0, 4.882576884327179)	(5.0, 3.2431984025923724)	(6.0, 2.4126056120703634)	(7.0, 1.8608000448830202)	(8.0, 1.3985575350432502)	(9.0, 1.1644990408668685)	('>10', 10.60576435629272)	('>50', 2.4607193391057587)	('>100', 3.044305658698058)	('>500', 0.3088472867884992)	('>1k', 0.16571160190056092)	('>5k', 0.05411687072275894)	('>10k+', 0.0)
SRR11780542_2	(1.0, 45.55929881157063)	(2.0, 16.230068747568556)	(3.0, 7.95411253900266)	(4.0, 4.62609151896625)	(5.0, 3.075011384430351)	(6.0, 2.2811552465794405)	(7.0, 1.7093238228345575)	(8.0, 1.4017241519928907)	(9.0, 1.1205518033988369)	('>10', 10.24090990614757)	('>50', 2.43870742400409)	('>100', 2.932252267468117)	('>500', 0.2791391404547519)	('>1k', 0.09282250156267016)	('>5k', 0.0)	('>10k+', 0.05883073401889508)
SRR11780543_1	(1.0, 37.73124511942467)	(2.0, 15.255823858353196)	(3.0, 7.921213149394185)	(4.0, 5.146005926839472)	(5.0, 3.429414236107111)	(6.0, 2.6391777588004506)	(7.0, 2.098772117484468)	(8.0, 1.6737638020929757)	(9.0, 1.3441689600567943)	('>10', 12.70918415961143)	('>50', 3.1338976159299556)	('>100', 5.027286066191257)	('>500', 1.1019952819162833)	('>1k', 0.6559304911388213)	('>5k', 0.028821590198818005)	('>10k+', 0.10329986646004058)
SRR11780543_2	(1.0, 38.95788055442771)	(2.0, 15.102538598112117)	(3.0, 7.720730145033613)	(4.0, 4.878510660963223)	(5.0, 3.491304393463981)	(6.0, 2.6589564281631257)	(7.0, 2.0191746954620218)	(8.0, 1.5738151961814248)	(9.0, 1.3120225060187243)	('>10', 12.521549737257121)	('>50', 3.035995763598678)	('>100', 4.975178595385155)	('>500', 1.075324665734283)	('>1k', 0.6205196219748689)	('>5k', 0.056498438224311436)	('>10k+', 0.0)
SRR11780544_1	(1.0, 40.92538237760955)	(2.0, 17.04755949603911)	(3.0, 8.273027265141623)	(4.0, 4.76689793839666)	(5.0, 3.1273089395415323)	(6.0, 2.1961468335712637)	(7.0, 1.7005800856345166)	(8.0, 1.463133524526949)	(9.0, 1.1611471843160002)	('>10', 12.019073260542575)	('>50', 3.0971975029167185)	('>100', 3.560518085569618)	('>500', 0.306436321515272)	('>1k', 0.09593551008889427)	('>5k', 0.0)	('>10k+', 0.2596556745897775)
SRR11780544_2	(1.0, 42.71390695502497)	(2.0, 16.614508804704908)	(3.0, 7.846252599477027)	(4.0, 4.618814001612217)	(5.0, 3.075410949515049)	(6.0, 2.172143394269852)	(7.0, 1.6929514033806108)	(8.0, 1.3117433079614438)	(9.0, 1.1382257666411806)	('>10', 11.83974541745963)	('>50', 3.0733429114195876)	('>100', 3.3601799572417956)	('>500', 0.3035959216622174)	('>1k', 0.08364249589640133)	('>5k', 0.03194851378486331)	('>10k+', 0.12358759994828322)
SRR11780545_1	(1.0, 36.49640999375085)	(2.0, 15.934104400639956)	(3.0, 8.461920587860543)	(4.0, 5.08295083730089)	(5.0, 3.400302833318213)	(6.0, 2.530663254008394)	(7.0, 1.912507323205807)	(8.0, 1.6010623931467516)	(9.0, 1.305239323177158)	('>10', 13.857195049958582)	('>50', 3.877294785848055)	('>100', 4.529243839674734)	('>500', 0.49374134673285214)	('>1k', 0.2932047645705724)	('>5k', 0.07281858828241529)	('>10k+', 0.15134067852429084)
SRR11780545_2	(1.0, 38.31339489386076)	(2.0, 15.748682617719338)	(3.0, 7.996890447089276)	(4.0, 4.8882883785844955)	(5.0, 3.454031693039197)	(6.0, 2.4172475012091486)	(7.0, 1.8996320337492465)	(8.0, 1.5934194874800245)	(9.0, 1.2664755463682345)	('>10', 13.437484479124976)	('>50', 3.7406030580242318)	('>100', 4.345836942718862)	('>500', 0.488854773437539)	('>1k', 0.21740228576084064)	('>5k', 0.01765679677601827)	('>10k+', 0.1740990650578303)
SRR11780546_1	(1.0, 36.91053293531313)	(2.0, 15.564521639383692)	(3.0, 8.230835739403199)	(4.0, 5.06526132552522)	(5.0, 3.458945029088477)	(6.0, 2.487199973843529)	(7.0, 2.0532234372859297)	(8.0, 1.6344929572623945)	(9.0, 1.389399730344617)	('>10', 13.967018553490076)	('>50', 3.8147752926946126)	('>100', 4.513712200880953)	('>500', 0.5147197750229398)	('>1k', 0.20235614800305773)	('>5k', 0.0)	('>10k+', 0.19300526245818211)
SRR11780546_2	(1.0, 38.59737259709271)	(2.0, 15.293601574740107)	(3.0, 8.028653736319825)	(4.0, 4.8290420919620525)	(5.0, 3.4520626778178714)	(6.0, 2.4891466393630983)	(7.0, 1.9236957779335693)	(8.0, 1.518668664267998)	(9.0, 1.3901323038051825)	('>10', 13.6398827607662)	('>50', 3.6383677350828516)	('>100', 4.414406689224862)	('>500', 0.4872949464843502)	('>1k', 0.1805881666777265)	('>5k', 0.028952103254864532)	('>10k+', 0.08813153520676227)
