Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
SRR11780541_1	(1, 0.0421592293043549)	(2, 0.00024735525290046293)	(3, 0.0)	(4, 0.06337241579309862)	(5, 0.0001929370972623611)	(6, 0.00044029235016282403)	(7, 1.4841315174027777e-05)	(8, 0.00023251393772643519)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 7.915368092814814e-06)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 3.957684046407407e-06)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 9.894210116018517e-07)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)
SRR11780541_2	(1, 0.00018798999220435186)	(2, 0.0009646854863118056)	(3, 0.0006728062878892593)	(4, 0.0)	(5, 0.0009152144357317129)	(6, 0.00012367762645023147)	(7, 0.0004897634007429167)	(8, 4.94710505800926e-06)	(9, 0.0)	(10, 2.2756683266842594e-05)	(15, 0.00034728677507225)	(20, 5.441815563810185e-05)	(25, 6.134410271931481e-05)	(30, 0.0)	(35, 0.0)	(40, 9.894210116018517e-07)	(45, 0.0)	(50, 0.0)	(55, 1.088363112762037e-05)	(60, 0.0)	(65, 1.682015719723148e-05)	(70, 5.837583968450926e-05)	(75, 6.925947081212963e-06)	(80, 9.894210116018517e-07)	(85, 1.2862473150824074e-05)	(90, 9.894210116018517e-07)	(95, 0.0)	(100, 2.770378832485185e-05)	(105, 0.0)	(110, 0.0)	(115, 1.088363112762037e-05)	(120, 1.3851894162425926e-05)	(125, 1.4841315174027777e-05)	(130, 0.0)	(135, 0.0)	(140, 3.462973540606482e-05)	(145, 8.113252295135185e-05)	(150, 0.0)
SRR11780542_1	(1, 0.04179272873512556)	(2, 0.00021650030524500584)	(3, 0.0)	(4, 0.06328753262567689)	(5, 0.0002369248623435913)	(6, 0.00040032131913227495)	(7, 1.2254734259151275e-05)	(8, 0.00031453817931821604)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 7.352840555490764e-06)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 6.535858271547346e-06)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 4.90189370366051e-06)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)
SRR11780542_2	(1, 0.00021241539382528876)	(2, 0.0009436145379546481)	(3, 0.0007761331697462473)	(4, 0.0)	(5, 0.0010498222348672924)	(6, 9.80378740732102e-05)	(7, 0.0005269535731435047)	(8, 0.0)	(9, 0.0)	(10, 3.186230907379331e-05)	(15, 0.0003529363466635567)	(20, 5.718875987603928e-05)	(25, 5.963970672786953e-05)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 8.169822839434182e-06)	(60, 0.0)	(65, 1.7156627962811782e-05)	(70, 6.372461814758663e-05)	(75, 7.352840555490764e-06)	(80, 1.6339645678868366e-06)	(85, 1.6339645678868364e-05)	(90, 2.450946851830255e-06)	(95, 0.0)	(100, 3.0228344505906474e-05)	(105, 1.6339645678868366e-06)	(110, 2.450946851830255e-06)	(115, 1.552266339492495e-05)	(120, 1.552266339492495e-05)	(125, 2.1241539382528874e-05)	(130, 7.352840555490764e-06)	(135, 1.6339645678868366e-06)	(140, 3.676420277745382e-05)	(145, 9.313598036954968e-05)	(150, 0.0)
SRR11780543_1	(1, 0.04160975439038412)	(2, 0.0002861233588540357)	(3, 0.0)	(4, 0.06287295881781459)	(5, 0.0001828010348234117)	(6, 0.0003841471021651405)	(7, 1.5895742158557537e-05)	(8, 0.0002808247781345165)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 1.2186735654894113e-05)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 7.418013007326851e-06)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 4.768722647567262e-06)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)
SRR11780543_2	(1, 0.00021194322878076717)	(2, 0.0008848629801597029)	(3, 0.0007629956236107618)	(4, 0.0)	(5, 0.0009537445295134524)	(6, 6.623225899398973e-05)	(7, 0.00044508078043961104)	(8, 0.0)	(9, 0.0)	(10, 2.7552619741499733e-05)	(15, 0.0003375195918333717)	(20, 6.093367827447056e-05)	(25, 6.146353634642248e-05)	(30, 0.0)	(35, 0.0)	(40, 1.0597161439038358e-06)	(45, 0.0)	(50, 0.0)	(55, 1.006730336708644e-05)	(60, 0.0)	(65, 1.9074890590269047e-05)	(70, 7.153083971350892e-05)	(75, 7.418013007326851e-06)	(80, 2.1194322878076716e-06)	(85, 1.1656877582942195e-05)	(90, 1.589574215855754e-06)	(95, 0.0)	(100, 2.7552619741499733e-05)	(105, 1.0597161439038358e-06)	(110, 1.0597161439038358e-06)	(115, 1.3246451798797948e-05)	(120, 2.013460673417288e-05)	(125, 2.8612335885403566e-05)	(130, 2.6492903597595896e-06)	(135, 5.298580719519179e-07)	(140, 4.344836190005727e-05)	(145, 0.00010544175631843165)	(150, 0.0)
SRR11780544_1	(1, 0.04162435820671273)	(2, 0.00026688617230616096)	(3, 0.0)	(4, 0.06367706377764032)	(5, 0.00019275112444333846)	(6, 0.00042504094108018227)	(7, 2.9654019145128992e-05)	(8, 0.0002866555184029136)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 6.9192711338634325e-06)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 1.285007496288923e-05)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 5.930803829025798e-06)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)
SRR11780544_2	(1, 0.00021252047054009114)	(2, 0.0008846782378296817)	(3, 0.0007611198247249775)	(4, 0.0)	(5, 0.000924216930023187)	(6, 7.907738438701065e-05)	(7, 0.00042998327760437037)	(8, 4.942336524188166e-06)	(9, 0.0)	(10, 3.459635566931716e-05)	(15, 0.00033311348173028235)	(20, 6.523884211928379e-05)	(25, 7.11696459483096e-05)	(30, 0.0)	(35, 0.0)	(40, 9.884673048376331e-07)	(45, 0.0)	(50, 0.0)	(55, 1.285007496288923e-05)	(60, 0.0)	(65, 1.9769346096752663e-05)	(70, 7.215811325314721e-05)	(75, 9.884673048376332e-06)	(80, 1.9769346096752663e-06)	(85, 1.581547687740213e-05)	(90, 1.9769346096752663e-06)	(95, 0.0)	(100, 3.163095375480426e-05)	(105, 9.884673048376331e-07)	(110, 2.965401914512899e-06)	(115, 1.285007496288923e-05)	(120, 1.8780878791915028e-05)	(125, 2.273474801126556e-05)	(130, 3.9538692193505325e-06)	(135, 0.0)	(140, 3.657329027899243e-05)	(145, 0.00010181213239827621)	(150, 0.0)
SRR11780545_1	(1, 0.042169419195219535)	(2, 0.0002672795224128003)	(3, 0.0)	(4, 0.06327538966393031)	(5, 0.00017008696880814564)	(6, 0.0004282546893205095)	(7, 1.8223603800872746e-05)	(8, 0.00032498760111556395)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 7.289441520349099e-06)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 4.859627680232732e-06)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 2.429813840116366e-06)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)
SRR11780545_2	(1, 0.0002460186513117821)	(2, 0.0008868820516424736)	(3, 0.00082917397293971)	(4, 0.0)	(5, 0.0010174845455487285)	(6, 8.200621710392737e-05)	(7, 0.0004950745699237096)	(8, 9.111801900436373e-06)	(9, 0.0)	(10, 2.9765219541425486e-05)	(15, 0.00036264971563736766)	(20, 5.831553216279279e-05)	(25, 6.439006676308371e-05)	(30, 0.0)	(35, 0.0)	(40, 1.8223603800872746e-06)	(45, 0.0)	(50, 0.0)	(55, 6.681988060320007e-06)	(60, 0.0)	(65, 1.4578883040698197e-05)	(70, 6.013789254288007e-05)	(75, 7.289441520349099e-06)	(80, 1.214906920058183e-06)	(85, 1.0934162280523648e-05)	(90, 1.214906920058183e-06)	(95, 0.0)	(100, 2.2475778021076388e-05)	(105, 0.0)	(110, 0.0)	(115, 9.719255360465464e-06)	(120, 1.214906920058183e-05)	(125, 1.8223603800872746e-05)	(130, 1.214906920058183e-06)	(135, 0.0)	(140, 3.887702144186186e-05)	(145, 9.476273976453828e-05)	(150, 0.0)
